State,Date,Hourly Demand Met (in MW)
Delhi - 2024,23-Jan 3am,1810.90
Delhi - 2024,23-Jan 4am,1881.38
Delhi - 2024,23-Jan 5am,2214.75
Delhi - 2024,23-Jan 6am,3036.28
Delhi - 2024,23-Jan 7am,4209.72
Delhi - 2024,23-Jan 8am,4814.17
Delhi - 2024,23-Jan 9am,5002.12
Delhi - 2024,23-Jan 10am,5291.30
Delhi - 2024,23-Jan 11am,5123.33
Delhi - 2024,23-Jan 12pm,4748.69
Delhi - 2024,23-Jan 1pm,4276.83
Delhi - 2024,23-Jan 2pm,4239.21
Delhi - 2024,23-Jan 3pm,4213.74
Delhi - 2024,23-Jan 4pm,4169.66
Delhi - 2024,23-Jan 5pm,4274.26
Delhi - 2024,23-Jan 6pm,4487.93
Delhi - 2024,23-Jan 7pm,4469.30
Delhi - 2024,23-Jan 8pm,4249.56
Delhi - 2024,23-Jan 9pm,4051.00
Delhi - 2024,23-Jan 10pm,3693.49
Delhi - 2024,23-Jan 11pm,3033.62
Delhi - 2024,24-Jan 12am,2430.84
Delhi - 2024,24-Jan 1am,2066.52
Delhi - 2024,24-Jan 2am,1910.71
Delhi - 2024,24-Jan 3am,1828.52
Delhi - 2024,24-Jan 4am,1880.16
Delhi - 2024,24-Jan 5am,2223.89
Delhi - 2024,24-Jan 6am,3104.75
Delhi - 2024,24-Jan 7am,4350.94
Delhi - 2024,24-Jan 8am,4992.83
Delhi - 2024,24-Jan 9am,5199.55
Delhi - 2024,24-Jan 10am,5494.74
Delhi - 2024,24-Jan 11am,5404.80
Delhi - 2024,24-Jan 12pm,5047.30
Delhi - 2024,24-Jan 1pm,4540.44
Delhi - 2024,24-Jan 2pm,4404.95
Delhi - 2024,24-Jan 3pm,4172.14
Delhi - 2024,24-Jan 4pm,3918.72
Delhi - 2024,24-Jan 5pm,4095.26
Delhi - 2024,24-Jan 6pm,4516.42
Delhi - 2024,24-Jan 7pm,4471.78
Delhi - 2024,24-Jan 8pm,4282.81
Delhi - 2024,24-Jan 9pm,4052.47
Delhi - 2024,24-Jan 10pm,3727.69
Delhi - 2024,24-Jan 11pm,3082.52
Delhi - 2024,25-Jan 12am,2470.73
Delhi - 2024,25-Jan 1am,2091.50
Delhi - 2024,25-Jan 2am,1925.26
Delhi - 2024,25-Jan 3am,1851.97
Delhi - 2024,25-Jan 4am,1923.23
Delhi - 2024,25-Jan 5am,2256.84
Delhi - 2024,25-Jan 6am,3091.26
Delhi - 2024,25-Jan 7am,4279.72
Delhi - 2024,25-Jan 8am,4902.26
Delhi - 2024,25-Jan 9am,5188.04
Delhi - 2024,25-Jan 10am,5406.21
Delhi - 2024,25-Jan 11am,5212.02
Delhi - 2024,25-Jan 12pm,4926.33
